Player,Rating 2.0,KPR,HS,Maps Played,DPR,Rounds Contributed
faveN,"Rating 2.0
                          1.12","Kills per round
                          0.70","Headshots
                          50.4%","Maps played
                          6","Deaths per round
                          0.65","Rounds contributed
                          76.7%"
Tuurtle,"Rating 2.0
                          1.05","Kills per round
                          0.67","Headshots
                          60.0%","Maps played
                          52","Deaths per round
                          0.68","Rounds contributed
                          69.6%"
WOOD7,"Rating 2.0
                          1.09","Kills per round
                          0.67","Headshots
                          23.0%","Maps played
                          52","Deaths per round
                          0.60","Rounds contributed
                          72.2%"
JOTA,"Rating 2.0
                          1.06","Kills per round
                          0.65","Headshots
                          52.3%","Maps played
                          17","Deaths per round
                          0.63","Rounds contributed
                          74.7%"
m0NESY,"Rating 2.0
                          1.16","Kills per round
                          0.74","Headshots
                          39.0%","Maps played
                          52","Deaths per round
                          0.60","Rounds contributed
                          71.4%"
autimatic,"Rating 2.0
                          1.11","Kills per round
                          0.70","Headshots
                          50.2%","Maps played
                          66","Deaths per round
                          0.67","Rounds contributed
                          71.7%"
nitr0,,,,,,
oSee,"Rating 2.0
                          1.04","Kills per round
                          0.67","Headshots
                          24.9%","Maps played
                          42","Deaths per round
                          0.60","Rounds contributed
                          70.4%"
FaNg,,,,,,
floppy,"Rating 2.0
                          1.10","Kills per round
                          0.68","Headshots
                          49.1%","Maps played
                          44","Deaths per round
                          0.62","Rounds contributed
                          73.6%"
JT,"Rating 2.0
                          0.95","Kills per round
                          0.56","Headshots
                          52.8%","Maps played
                          44","Deaths per round
                          0.65","Rounds contributed
                          70.5%"
saffee,"Rating 2.0
                          1.13","Kills per round
                          0.72","Headshots
                          28.1%","Maps played
                          56","Deaths per round
                          0.59","Rounds contributed
                          72.6%"
JDC,"Rating 2.0
                          1.11","Kills per round
                          0.73","Headshots
                          48.9%","Maps played
                          35","Deaths per round
                          0.64","Rounds contributed
                          73.2%"
torzsi,"Rating 2.0
                          1.22","Kills per round
                          0.75","Headshots
                          30.5%","Maps played
                          43","Deaths per round
                          0.53","Rounds contributed
                          77.0%"
NBK-,"Rating 2.0
                          0.92","Kills per round
                          0.56","Headshots
                          58.1%","Maps played
                          43","Deaths per round
                          0.68","Rounds contributed
                          68.6%"
Farlig,,,,,,
SunPayus,"Rating 2.0
                          1.22","Kills per round
                          0.76","Headshots
                          29.1%","Maps played
                          41","Deaths per round
                          0.57","Rounds contributed
                          74.5%"
DeathZz,,,,,,
